date,portfolio_value,period_return,nifty_return,turnover,cost,n_stocks_in,n_stocks_out
2020-06-01,708924.2,0.42,0.3572,1.0,750.0,25,0
2020-12-01,914531.18,0.2925,0.1244,0.32,1361.13,8,8
2021-06-01,1111732.25,0.2191,0.1038,0.48,2633.85,12,12
2021-12-01,910851.42,-0.1785,-0.0907,0.44,2934.97,11,11
2022-06-01,1084414.86,0.194,0.1473,0.48,2623.25,12,12
2022-12-01,1149004.4,0.0636,0.0599,0.64,4164.15,16,16
2023-06-01,1732147.36,0.5133,0.1325,0.64,4412.18,16,16
2023-12-01,2312947.22,0.3401,0.1049,0.6,6235.73,15,15
2024-06-01,2158995.46,-0.0641,-0.0152,0.44,6106.18,11,11
2024-12-01,2047583.94,-0.0498,0.0792,0.32,4145.27,8,8
2025-06-01,2037391.55,-0.0004,0.024,0.76,9336.98,19,19
2025-12-01,1968739.33,-0.0297,-0.0749,0.68,8312.56,17,17
