ticker,shares_cr
HDFCBANK.NS,1539.5045018
ICICIBANK.NS,716.5130313
KOTAKBANK.NS,994.646495
AXISBANK.NS,310.856591
SBIN.NS,923.0617586
BANKBARODA.NS,517.1362179
PNB.NS,1149.2943268
CANBK.NS,907.065126
INDIANB.NS,134.6963981
UNIONBANK.NS,763.3605607
BANDHANBNK.NS,161.0978587
FEDERALBNK.NS,246.3949908
IDFCFIRSTB.NS,860.220636
AUBANK.NS,74.8358789
BAJFINANCE.NS,621.6345518
BAJAJFINSV.NS,159.7497155
SHRIRAMFIN.NS,235.2686426
CHOLAFIN.NS,85.2324401
MUTHOOTFIN.NS,40.1468476
PFC.NS,330.010176
RECLTD.NS,263.3224
IRFC.NS,1306.8506
LICHSGFIN.NS,55.0063
SBILIFE.NS,100.3092121
HDFCLIFE.NS,215.7279702
ICICIGI.NS,49.8619584
LICI.NS,632.4997701
BSE.NS,40.6129077
CDSL.NS,20.9
CAMS.NS,24.7984498
TCS.NS,361.8087518
INFY.NS,404.6638943
HCLTECH.NS,270.5652444
WIPRO.NS,1047.6989385
TECHM.NS,88.5605623
LTIM.NS,29.6400587
MPHASIS.NS,19.081705
COFORGE.NS,33.5850618
PERSISTENT.NS,15.6231044
OFSS.NS,8.7050069
RELIANCE.NS,1353.2472634
ONGC.NS,1258.0279206
BPCL.NS,433.8505488
IOC.NS,1412.1238383
COALINDIA.NS,616.2728327
NTPC.NS,969.6666134
POWERGRID.NS,930.0603819
TATAPOWER.NS,319.5339547
ADANIGREEN.NS,164.7176155
ADANIPORTS.NS,230.3959098
ADANIENT.NS,130.1693464
GAIL.NS,657.5079643
PETRONET.NS,150.0000088
OIL.NS,162.6607791
TORNTPOWER.NS,50.3903543
HINDUNILVR.NS,234.9591262
ITC.NS,1252.9468231
NESTLEIND.NS,192.831432
BRITANNIA.NS,24.0868296
DABUR.NS,177.3690172
MARICO.NS,129.5647582
COLPAL.NS,27.1985634
GODREJCP.NS,102.3244581
EMAMILTD.NS,43.65
TATACONSUM.NS,98.956178
VBL.NS,338.2094394
RADICO.NS,13.3897933
UBL.NS,26.4405149
MARUTI.NS,31.4402574
M&M.NS,120.0762264
BAJAJ-AUTO.NS,27.9246551
EICHERMOT.NS,27.4314204
TVSMOTOR.NS,47.4960087
HEROMOTOCO.NS,20.0089777
BOSCHLTD.NS,2.949364
MOTHERSON.NS,1053.1231231
BALKRISIND.NS,19.331719
APOLLOTYRE.NS,63.2581334
EXIDEIND.NS,85.0
ASHOKLEY.NS,587.3854552
SUNPHARMA.NS,239.933497
DRREDDY.NS,83.2594805
CIPLA.NS,80.7782631
DIVISLAB.NS,26.546858
LUPIN.NS,45.7179111
TORNTPHARM.NS,33.844544
AUROPHARMA.NS,58.0801623
ALKEM.NS,11.9565
ABBOTINDIA.NS,2.1249302
APOLLOHOSP.NS,14.3784657
MAXHEALTH.NS,97.3192502
FORTIS.NS,75.4958148
LALPATHLAB.NS,16.6973474
TATASTEEL.NS,1247.1847611
JSWSTEEL.NS,244.0633358
HINDALCO.NS,223.6153208
VEDL.NS,390.4801732
SAIL.NS,413.0525289
NMDC.NS,879.181755
NATIONALUM.NS,183.6631787
APLAPOLLO.NS,27.7658405
RATNAMANI.NS,7.0092
ULTRACEMCO.NS,29.4169635
GRASIM.NS,67.8114605
SHREECEM.NS,3.6080748
AMBUJACEM.NS,248.4817186
ACC.NS,18.7787263
RAMCOCEM.NS,23.629238
JKCEMENT.NS,7.7268251
LT.NS,137.563219
SIEMENS.NS,35.6120505
ABB.NS,21.1908375
BHEL.NS,348.2063355
BEL.NS,730.9778829
HAL.NS,66.8775
HAVELLS.NS,62.7256842
VOLTAS.NS,33.088474
CUMMINSIND.NS,27.72
GMRAIRPORT.NS,1055.8975952
NCC.NS,62.7846588
PIDILITIND.NS,101.7775348
DEEPAKNTR.NS,13.6393041
NAVINFLUOR.NS,5.1277899
AARTIIND.NS,36.2594491
GALAXYSURF.NS,3.5454752
FLUOROCHEM.NS,10.985
BERGEPAINT.NS,116.6002812
DMART.NS,65.2123657
TRENT.NS,35.5487461
TITAN.NS,88.704526
KALYANKJIL.NS,103.2740207
JUBLFOOD.NS,65.767995
DIXON.NS,6.0685743
AMBER.NS,3.5191667
PVRINOX.NS,9.8199962
LODHA.NS,99.8915116
BHARTIARTL.NS,609.0538098
INDUSTOWER.NS,263.7153391
TATACOMM.NS,28.5
INDIGO.NS,38.6646998
BLUEDART.NS,2.3727934
DELHIVERY.NS,74.8694333
CONCOR.NS,76.1617935
DLF.NS,247.5311706
GODREJPROP.NS,30.1207741
PRESTIGE.NS,43.0730232
BRIGADE.NS,24.4593464
OBEROIRLTY.NS,36.3602237
PHOENIXLTD.NS,35.7634631
ASIANPAINT.NS,95.8594309
KANSAINER.NS,80.8658273
UPL.NS,84.4169318
PIIND.NS,15.1703229
COROMANDEL.NS,29.4718339
CHAMBLFERT.NS,40.0652297
SBICARD.NS,95.1600251
ABCAPITAL.NS,262.0522288
ANGELONE.NS,91.085923
MFSL.NS,34.5114771
CANFINHOME.NS,13.3154125
PNBHOUSING.NS,26.0549578
SCHAEFFLER.NS,15.630367
TIMKEN.NS,7.5218734
ASTRAL.NS,26.8650163
SUNTV.NS,39.408462
ZEEL.NS,96.051942
RAYMOND.NS,6.6551431
